ITER,PRECISION,RECALL,F-SCORE,SOLVER,ACTIVATION,ALPHA,HIDDEN LAYERS
0,[ 0.91262136  0.93814433],[ 0.94  0.91],[ 0.92610837  0.92385787],lbfgs,logistic,0.0001,2
0,[ 0.91457286  0.91044776],[ 0.91   0.915],[ 0.9122807  0.9127182],lbfgs,logistic,0.0001,3
0,[ 0.90243902  0.92307692],[ 0.925  0.9  ],[ 0.91358025  0.91139241],lbfgs,logistic,0.0001,4
0,[ 0.90338164  0.93264249],[ 0.935  0.9  ],[ 0.91891892  0.91603053],lbfgs,logistic,0.0001,5
0,[ 0.91959799  0.91542289],[ 0.915  0.92 ],[ 0.91729323  0.91770574],lbfgs,logistic,0.0001,6
0,[ 0.90862944  0.89655172],[ 0.895  0.91 ],[ 0.90176322  0.90322581],lbfgs,logistic,0.0001,(2, 2)
0,[ 0.91370558  0.90147783],[ 0.9    0.915],[ 0.90680101  0.90818859],lbfgs,logistic,0.0001,(2, 3)
0,[ 0.90821256  0.93782383],[ 0.94   0.905],[ 0.92383292  0.92111959],lbfgs,logistic,0.0001,(2, 4)
0,[ 0.90384615  0.9375    ],[ 0.94  0.9 ],[ 0.92156863  0.91836735],lbfgs,logistic,0.0001,(2, 5)
0,[ 0.91262136  0.93814433],[ 0.94  0.91],[ 0.92610837  0.92385787],lbfgs,logistic,0.0001,(2, 6)
0,[ 0.91262136  0.93814433],[ 0.94  0.91],[ 0.92610837  0.92385787],lbfgs,logistic,0.0001,(3, 2)
0,[ 0.91262136  0.93814433],[ 0.94  0.91],[ 0.92610837  0.92385787],lbfgs,logistic,0.0001,(3, 3)
0,[ 0.91542289  0.91959799],[ 0.92   0.915],[ 0.91770574  0.91729323],lbfgs,logistic,0.0001,(3, 4)
0,[ 0.92857143  0.91176471],[ 0.91  0.93],[ 0.91919192  0.92079208],lbfgs,logistic,0.0001,(3, 5)
0,[ 0.91089109  0.91919192],[ 0.92  0.91],[ 0.91542289  0.91457286],lbfgs,logistic,0.0001,(3, 6)
0,[ 0.915  0.915],[ 0.915  0.915],[ 0.915  0.915],lbfgs,logistic,0.0001,(4, 2)
0,[ 0.915  0.915],[ 0.915  0.915],[ 0.915  0.915],lbfgs,logistic,0.0001,(4, 3)
0,[ 0.91262136  0.93814433],[ 0.94  0.91],[ 0.92610837  0.92385787],lbfgs,logistic,0.0001,(4, 4)
0,[ 0.90865385  0.94270833],[ 0.945  0.905],[ 0.92647059  0.92346939],lbfgs,logistic,0.0001,(4, 5)
0,[ 0.91304348  0.94300518],[ 0.945  0.91 ],[ 0.92874693  0.92620865],lbfgs,logistic,0.0001,(4, 6)
0,[ 0.92462312  0.92039801],[ 0.92   0.925],[ 0.92230576  0.92269327],lbfgs,logistic,0.0001,(5, 2)
0,[ 0.90731707  0.92820513],[ 0.93   0.905],[ 0.91851852  0.9164557 ],lbfgs,logistic,0.0001,(5, 3)
0,[ 0.91304348  0.94300518],[ 0.945  0.91 ],[ 0.92874693  0.92620865],lbfgs,logistic,0.0001,(5, 4)
0,[ 0.90686275  0.92346939],[ 0.925  0.905],[ 0.91584158  0.91414141],lbfgs,logistic,0.0001,(5, 5)
0,[ 0.90821256  0.93782383],[ 0.94   0.905],[ 0.92383292  0.92111959],lbfgs,logistic,0.0001,(5, 6)
0,[ 0.915  0.915],[ 0.915  0.915],[ 0.915  0.915],lbfgs,logistic,0.0001,(6, 2)
0,[ 0.91133005  0.92385787],[ 0.925  0.91 ],[ 0.91811414  0.91687657],lbfgs,logistic,0.0001,(6, 3)
0,[ 0.90821256  0.93782383],[ 0.94   0.905],[ 0.92383292  0.92111959],lbfgs,logistic,0.0001,(6, 4)
0,[ 0.89903846  0.93229167],[ 0.935  0.895],[ 0.91666667  0.91326531],lbfgs,logistic,0.0001,(6, 5)
0,[ 0.90338164  0.93264249],[ 0.935  0.9  ],[ 0.91891892  0.91603053],lbfgs,logistic,0.0001,(6, 6)
0,[ 0.91262136  0.93814433],[ 0.94  0.91],[ 0.92610837  0.92385787],lbfgs,logistic,0.0001,(2, 2, 2)
0,[ 0.91133005  0.92385787],[ 0.925  0.91 ],[ 0.91811414  0.91687657],lbfgs,logistic,0.0001,(2, 2, 3)
0,[ 0.91326531  0.89705882],[ 0.895  0.915],[ 0.9040404   0.90594059],lbfgs,logistic,0.0001,(2, 2, 4)
0,[ 0.91262136  0.93814433],[ 0.94  0.91],[ 0.92610837  0.92385787],lbfgs,logistic,0.0001,(2, 2, 5)
0,[ 0.91262136  0.93814433],[ 0.94  0.91],[ 0.92610837  0.92385787],lbfgs,logistic,0.0001,(2, 2, 6)
0,[ 0.91262136  0.93814433],[ 0.94  0.91],[ 0.92610837  0.92385787],lbfgs,logistic,0.0001,(2, 3, 2)
0,[ 0.91304348  0.94300518],[ 0.945  0.91 ],[ 0.92874693  0.92620865],lbfgs,logistic,0.0001,(2, 3, 3)
0,[ 0.91044776  0.91457286],[ 0.915  0.91 ],[ 0.9127182  0.9122807],lbfgs,logistic,0.0001,(2, 3, 4)
0,[ 0.51025641  0.9       ],[ 0.995  0.045],[ 0.67457627  0.08571429],lbfgs,logistic,0.0001,(2, 3, 5)
0,[ 0.91414141  0.90594059],[ 0.905  0.915],[ 0.90954774  0.91044776],lbfgs,logistic,0.0001,(2, 3, 6)
0,[ 0.91262136  0.93814433],[ 0.94  0.91],[ 0.92610837  0.92385787],lbfgs,logistic,0.0001,(2, 4, 2)
0,[ 0.91262136  0.93814433],[ 0.94  0.91],[ 0.92610837  0.92385787],lbfgs,logistic,0.0001,(2, 4, 3)
0,[ 0.90430622  0.94240838],[ 0.945  0.9  ],[ 0.92420538  0.92071611],lbfgs,logistic,0.0001,(2, 4, 4)
0,[ 0.91262136  0.93814433],[ 0.94  0.91],[ 0.92610837  0.92385787],lbfgs,logistic,0.0001,(2, 4, 5)
0,[ 0.91219512  0.93333333],[ 0.935  0.91 ],[ 0.92345679  0.92151899],lbfgs,logistic,0.0001,(2, 4, 6)
0,[ 0.91304348  0.94300518],[ 0.945  0.91 ],[ 0.92874693  0.92620865],lbfgs,logistic,0.0001,(2, 5, 2)
0,[ 0.90430622  0.94240838],[ 0.945  0.9  ],[ 0.92420538  0.92071611],lbfgs,logistic,0.0001,(2, 5, 3)
0,[ 0.          0.49748744],[ 0.    0.99],[ 0.          0.66220736],lbfgs,logistic,0.0001,(2, 5, 4)
0,[ 0.90196078  0.91836735],[ 0.92  0.9 ],[ 0.91089109  0.90909091],lbfgs,logistic,0.0001,(2, 5, 5)
0,[ 0.91262136  0.93814433],[ 0.94  0.91],[ 0.92610837  0.92385787],lbfgs,logistic,0.0001,(2, 5, 6)
0,[ 0.90147783  0.91370558],[ 0.915  0.9  ],[ 0.90818859  0.90680101],lbfgs,logistic,0.0001,(2, 6, 2)
0,[ 0.91262136  0.93814433],[ 0.94  0.91],[ 0.92610837  0.92385787],lbfgs,logistic,0.0001,(2, 6, 3)
0,[ 0.90147783  0.91370558],[ 0.915  0.9  ],[ 0.90818859  0.90680101],lbfgs,logistic,0.0001,(2, 6, 4)
0,[ 0.905  0.905],[ 0.905  0.905],[ 0.905  0.905],lbfgs,logistic,0.0001,(2, 6, 5)
0,[ 0.90686275  0.92346939],[ 0.925  0.905],[ 0.91584158  0.91414141],lbfgs,logistic,0.0001,(2, 6, 6)
0,[ 0.91262136  0.93814433],[ 0.94  0.91],[ 0.92610837  0.92385787],lbfgs,logistic,0.0001,(3, 2, 2)
0,[ 0.91219512  0.93333333],[ 0.935  0.91 ],[ 0.92345679  0.92151899],lbfgs,logistic,0.0001,(3, 2, 3)
0,[ 0.89903846  0.93229167],[ 0.935  0.895],[ 0.91666667  0.91326531],lbfgs,logistic,0.0001,(3, 2, 4)
0,[ 0.08181818  0.34137931],[ 0.045  0.495],[ 0.05806452  0.40408163],lbfgs,logistic,0.0001,(3, 2, 5)
0,[ 0.90686275  0.92346939],[ 0.925  0.905],[ 0.91584158  0.91414141],lbfgs,logistic,0.0001,(3, 2, 6)
0,[ 0.90862944  0.89655172],[ 0.895  0.91 ],[ 0.90176322  0.90322581],lbfgs,logistic,0.0001,(3, 3, 2)
0,[ 0.91262136  0.93814433],[ 0.94  0.91],[ 0.92610837  0.92385787],lbfgs,logistic,0.0001,(3, 3, 3)
0,[ 0.90686275  0.92346939],[ 0.925  0.905],[ 0.91584158  0.91414141],lbfgs,logistic,0.0001,(3, 3, 4)
0,[ 0.91584158  0.92424242],[ 0.925  0.915],[ 0.92039801  0.91959799],lbfgs,logistic,0.0001,(3, 3, 5)
0,[ 0.91414141  0.90594059],[ 0.905  0.915],[ 0.90954774  0.91044776],lbfgs,logistic,0.0001,(3, 3, 6)
0,[ 0.91304348  0.94300518],[ 0.945  0.91 ],[ 0.92874693  0.92620865],lbfgs,logistic,0.0001,(3, 4, 2)
0,[ 0.91044776  0.91457286],[ 0.915  0.91 ],[ 0.9127182  0.9122807],lbfgs,logistic,0.0001,(3, 4, 3)
0,[ 0.90640394  0.91878173],[ 0.92   0.905],[ 0.91315136  0.91183879],lbfgs,logistic,0.0001,(3, 4, 4)
0,[ 0.91262136  0.93814433],[ 0.94  0.91],[ 0.92610837  0.92385787],lbfgs,logistic,0.0001,(3, 4, 5)
0,[ 0.91304348  0.94300518],[ 0.945  0.91 ],[ 0.92874693  0.92620865],lbfgs,logistic,0.0001,(3, 4, 6)
0,[ 0.91133005  0.92385787],[ 0.925  0.91 ],[ 0.91811414  0.91687657],lbfgs,logistic,0.0001,(3, 5, 2)
0,[ 0.91089109  0.91919192],[ 0.92  0.91],[ 0.91542289  0.91457286],lbfgs,logistic,0.0001,(3, 5, 3)
