ITER,PRECISION,RECALL,F-SCORE,SOLVER,ACTIVATION,ALPHA,HIDDEN LAYERS
ITER,PRECISION,RECALL,F-SCORE,SOLVER,ACTIVATION,ALPHA,HIDDEN LAYERS
ITER,PRECISION,RECALL,F-SCORE,SOLVER,ACTIVATION,ALPHA,HIDDEN LAYERS
0,[ 0.91457286  0.91044776],[ 0.91   0.915],[ 0.9122807  0.9127182],lbfgs,logistic,0.0001,(1,)
0,[ 0.915  0.915],[ 0.915  0.915],[ 0.915  0.915],lbfgs,logistic,0.0001,(2,)
0,[ 0.91625616  0.92893401],[ 0.93   0.915],[ 0.92307692  0.92191436],lbfgs,logistic,0.0001,(3,)
0,[ 0.91133005  0.92385787],[ 0.925  0.91 ],[ 0.91811414  0.91687657],lbfgs,logistic,0.0001,(4,)
0,[ 0.90731707  0.92820513],[ 0.93   0.905],[ 0.91851852  0.9164557 ],lbfgs,logistic,0.0001,(5,)
0,[ 0.91542289  0.91959799],[ 0.92   0.915],[ 0.91770574  0.91729323],lbfgs,logistic,0.0001,(6,)
0,[ 0.90731707  0.92820513],[ 0.93   0.905],[ 0.91851852  0.9164557 ],lbfgs,logistic,0.0001,(2, 2)
0,[ 0.91089109  0.91919192],[ 0.92  0.91],[ 0.91542289  0.91457286],lbfgs,logistic,0.0001,(2, 3)
0,[ 0.91176471  0.92857143],[ 0.93  0.91],[ 0.92079208  0.91919192],lbfgs,logistic,0.0001,(2, 4)
0,[ 0.92783505  0.90291262],[ 0.9   0.93],[ 0.91370558  0.91625616],lbfgs,logistic,0.0001,(2, 5)
0,[ 0.90640394  0.91878173],[ 0.92   0.905],[ 0.91315136  0.91183879],lbfgs,logistic,0.0001,(2, 6)
0,[ 0.91133005  0.92385787],[ 0.925  0.91 ],[ 0.91811414  0.91687657],lbfgs,logistic,0.0001,(3, 2)
0,[ 0.91133005  0.92385787],[ 0.925  0.91 ],[ 0.91811414  0.91687657],lbfgs,logistic,0.0001,(3, 3)
0,[ 0.90640394  0.91878173],[ 0.92   0.905],[ 0.91315136  0.91183879],lbfgs,logistic,0.0001,(3, 4)
0,[ 0.91133005  0.92385787],[ 0.925  0.91 ],[ 0.91811414  0.91687657],lbfgs,logistic,0.0001,(3, 5)
0,[ 0.91089109  0.91919192],[ 0.92  0.91],[ 0.91542289  0.91457286],lbfgs,logistic,0.0001,(3, 6)
0,[ 0.90640394  0.91878173],[ 0.92   0.905],[ 0.91315136  0.91183879],lbfgs,logistic,0.0001,(4, 2)
0,[ 0.91133005  0.92385787],[ 0.925  0.91 ],[ 0.91811414  0.91687657],lbfgs,logistic,0.0001,(4, 3)
0,[ 0.90594059  0.91414141],[ 0.915  0.905],[ 0.91044776  0.90954774],lbfgs,logistic,0.0001,(4, 4)
0,[ 0.90338164  0.93264249],[ 0.935  0.9  ],[ 0.91891892  0.91603053],lbfgs,logistic,0.0001,(4, 5)
0,[ 0.91584158  0.92424242],[ 0.925  0.915],[ 0.92039801  0.91959799],lbfgs,logistic,0.0001,(4, 6)
0,[ 0.90731707  0.92820513],[ 0.93   0.905],[ 0.91851852  0.9164557 ],lbfgs,logistic,0.0001,(5, 2)
0,[ 0.91089109  0.91919192],[ 0.92  0.91],[ 0.91542289  0.91457286],lbfgs,logistic,0.0001,(5, 3)
0,[ 0.91089109  0.91919192],[ 0.92  0.91],[ 0.91542289  0.91457286],lbfgs,logistic,0.0001,(5, 4)
0,[ 0.90291262  0.92783505],[ 0.93  0.9 ],[ 0.91625616  0.91370558],lbfgs,logistic,0.0001,(5, 5)
0,[ 0.91044776  0.91457286],[ 0.915  0.91 ],[ 0.9127182  0.9122807],lbfgs,logistic,0.0001,(5, 6)
0,[ 0.92820513  0.90731707],[ 0.905  0.93 ],[ 0.9164557   0.91851852],lbfgs,logistic,0.0001,(6, 2)
0,[ 0.91133005  0.92385787],[ 0.925  0.91 ],[ 0.91811414  0.91687657],lbfgs,logistic,0.0001,(6, 3)
0,[ 0.91133005  0.92385787],[ 0.925  0.91 ],[ 0.91811414  0.91687657],lbfgs,logistic,0.0001,(6, 4)
0,[ 0.90686275  0.92346939],[ 0.925  0.905],[ 0.91584158  0.91414141],lbfgs,logistic,0.0001,(6, 5)
0,[ 0.90686275  0.92346939],[ 0.925  0.905],[ 0.91584158  0.91414141],lbfgs,logistic,0.0001,(6, 6)
0,[ 0.90243902  0.92307692],[ 0.925  0.9  ],[ 0.91358025  0.91139241],lbfgs,logistic,0.0001,(2, 2, 2)
0,[ 0.90640394  0.91878173],[ 0.92   0.905],[ 0.91315136  0.91183879],lbfgs,logistic,0.0001,(2, 2, 3)
0,[ 0.91219512  0.93333333],[ 0.935  0.91 ],[ 0.92345679  0.92151899],lbfgs,logistic,0.0001,(2, 2, 4)
0,[ 0.90640394  0.91878173],[ 0.92   0.905],[ 0.91315136  0.91183879],lbfgs,logistic,0.0001,(2, 2, 5)
0,[ 0.5  0. ],[ 1.  0.],[ 0.66666667  0.        ],lbfgs,logistic,0.0001,(2, 2, 6)
0,[ 0.92385787  0.91133005],[ 0.91   0.925],[ 0.91687657  0.91811414],lbfgs,logistic,0.0001,(2, 3, 2)
0,[ 0.90640394  0.91878173],[ 0.92   0.905],[ 0.91315136  0.91183879],lbfgs,logistic,0.0001,(2, 3, 3)
0,[ 0.90640394  0.91878173],[ 0.92   0.905],[ 0.91315136  0.91183879],lbfgs,logistic,0.0001,(2, 3, 4)
0,[ 0.90731707  0.92820513],[ 0.93   0.905],[ 0.91851852  0.9164557 ],lbfgs,logistic,0.0001,(2, 3, 5)
0,[ 0.91542289  0.91959799],[ 0.92   0.915],[ 0.91770574  0.91729323],lbfgs,logistic,0.0001,(2, 3, 6)
0,[ 0.91542289  0.91959799],[ 0.92   0.915],[ 0.91770574  0.91729323],lbfgs,logistic,0.0001,(2, 4, 2)
0,[ 0.5  0. ],[ 1.  0.],[ 0.66666667  0.        ],lbfgs,logistic,0.0001,(2, 4, 3)
0,[ 0.91176471  0.92857143],[ 0.93  0.91],[ 0.92079208  0.91919192],lbfgs,logistic,0.0001,(2, 4, 4)
0,[ 0.90731707  0.92820513],[ 0.93   0.905],[ 0.91851852  0.9164557 ],lbfgs,logistic,0.0001,(2, 4, 5)
0,[ 0.91219512  0.93333333],[ 0.935  0.91 ],[ 0.92345679  0.92151899],lbfgs,logistic,0.0001,(2, 4, 6)
0,[ 0.90686275  0.92346939],[ 0.925  0.905],[ 0.91584158  0.91414141],lbfgs,logistic,0.0001,(2, 5, 2)
0,[ 0.90640394  0.91878173],[ 0.92   0.905],[ 0.91315136  0.91183879],lbfgs,logistic,0.0001,(2, 5, 3)
0,[ 0.90686275  0.92346939],[ 0.925  0.905],[ 0.91584158  0.91414141],lbfgs,logistic,0.0001,(2, 5, 4)
0,[ 0.90686275  0.92346939],[ 0.925  0.905],[ 0.91584158  0.91414141],lbfgs,logistic,0.0001,(2, 5, 5)
0,[ 0.90640394  0.91878173],[ 0.92   0.905],[ 0.91315136  0.91183879],lbfgs,logistic,0.0001,(2, 5, 6)
0,[ 0.91089109  0.91919192],[ 0.92  0.91],[ 0.91542289  0.91457286],lbfgs,logistic,0.0001,(2, 6, 2)
0,[ 0.90731707  0.92820513],[ 0.93   0.905],[ 0.91851852  0.9164557 ],lbfgs,logistic,0.0001,(2, 6, 3)
0,[ 0.90776699  0.93298969],[ 0.935  0.905],[ 0.92118227  0.91878173],lbfgs,logistic,0.0001,(2, 6, 4)
0,[ 0.90640394  0.91878173],[ 0.92   0.905],[ 0.91315136  0.91183879],lbfgs,logistic,0.0001,(2, 6, 5)
0,[ 0.90640394  0.91878173],[ 0.92   0.905],[ 0.91315136  0.91183879],lbfgs,logistic,0.0001,(2, 6, 6)
0,[ 0.92346939  0.90686275],[ 0.905  0.925],[ 0.91414141  0.91584158],lbfgs,logistic,0.0001,(3, 2, 2)
0,[ 0.90731707  0.92820513],[ 0.93   0.905],[ 0.91851852  0.9164557 ],lbfgs,logistic,0.0001,(3, 2, 3)
0,[ 0.91044776  0.91457286],[ 0.915  0.91 ],[ 0.9127182  0.9122807],lbfgs,logistic,0.0001,(3, 2, 4)
0,[ 0.92  0.92],[ 0.92  0.92],[ 0.92  0.92],lbfgs,logistic,0.0001,(3, 2, 5)
0,[ 0.89756098  0.91794872],[ 0.92   0.895],[ 0.90864198  0.90632911],lbfgs,logistic,0.0001,(3, 2, 6)
0,[ 0.90640394  0.91878173],[ 0.92   0.905],[ 0.91315136  0.91183879],lbfgs,logistic,0.0001,(3, 3, 2)
0,[ 0.90731707  0.92820513],[ 0.93   0.905],[ 0.91851852  0.9164557 ],lbfgs,logistic,0.0001,(3, 3, 3)
