ITER,KERNEL,PRECISION,RECALL,F-SCORE,C,GAMMA
0,linear,[ 0.95027624  0.87214612],[ 0.86   0.955],[ 0.90288714  0.91169451],0.01
0,linear,[ 0.95054945  0.87614679],[ 0.865  0.955],[ 0.90575916  0.9138756 ],0.1
0,linear,[ 0.94148936  0.89150943],[ 0.885  0.945],[ 0.91237113  0.91747573],1
0,linear,[ 0.93157895  0.89047619],[ 0.885  0.935],[ 0.90769231  0.91219512],10
0,linear,[ 0.93684211  0.8952381 ],[ 0.89  0.94],[ 0.91282051  0.91707317],100
0,linear,[ 0.94210526  0.9       ],[ 0.895  0.945],[ 0.91794872  0.92195122],1000
0,sigmoid,[ 0.94021739  0.875     ],[ 0.865  0.945],[ 0.90104167  0.90865385],0.01,0.001
0,sigmoid,[ 0.94021739  0.875     ],[ 0.865  0.945],[ 0.90104167  0.90865385],0.01,0.01
0,sigmoid,[ 0.94535519  0.87557604],[ 0.865  0.95 ],[ 0.90339426  0.91127098],0.01,0.1
0,sigmoid,[ 0.96875  0.8125 ],[ 0.775  0.975],[ 0.86111111  0.88636364],0.01,1
0,sigmoid,[ 0.31168831  0.38211382],[ 0.24  0.47],[ 0.27118644  0.42152466],0.01,10
0,sigmoid,[ 0.48493976  0.42647059],[ 0.805  0.145],[ 0.60526316  0.21641791],0.01,100
0,sigmoid,[ 0.49873418  0.4       ],[ 0.985  0.01 ],[ 0.66218487  0.0195122 ],0.01,1000
0,sigmoid,[ 0.94021739  0.875     ],[ 0.865  0.945],[ 0.90104167  0.90865385],0.1,0.001
0,sigmoid,[ 0.94021739  0.875     ],[ 0.865  0.945],[ 0.90104167  0.90865385],0.1,0.01
0,sigmoid,[ 0.95027624  0.87214612],[ 0.86   0.955],[ 0.90288714  0.91169451],0.1,0.1
0,sigmoid,[ 0.95        0.86818182],[ 0.855  0.955],[ 0.9         0.90952381],0.1,1
0,sigmoid,[ 0.17679558  0.23287671],[ 0.16   0.255],[ 0.167979    0.24343675],0.1,10
0,sigmoid,[ 0.38970588  0.265625  ],[ 0.53  0.17],[ 0.44915254  0.20731707],0.1,100
0,sigmoid,[ 0.45510836  0.31168831],[ 0.735  0.12 ],[ 0.56214149  0.1732852 ],0.1,1000
0,sigmoid,[ 0.94021739  0.875     ],[ 0.865  0.945],[ 0.90104167  0.90865385],1,0.001
0,sigmoid,[ 0.95027624  0.87214612],[ 0.86   0.955],[ 0.90288714  0.91169451],1,0.01
0,sigmoid,[ 0.95054945  0.87614679],[ 0.865  0.955],[ 0.90575916  0.9138756 ],1,0.1
0,sigmoid,[ 0.94505495  0.87155963],[ 0.86  0.95],[ 0.90052356  0.90909091],1,1
0,sigmoid,[ 0.16292135  0.22972973],[ 0.145  0.255],[ 0.15343915  0.24170616],1,10
0,sigmoid,[ 0.34313725  0.33673469],[ 0.35  0.33],[ 0.34653465  0.33333333],1,100
0,sigmoid,[ 0.40182648  0.38121547],[ 0.44   0.345],[ 0.42004773  0.36220472],1,1000
0,sigmoid,[ 0.95027624  0.87214612],[ 0.86   0.955],[ 0.90288714  0.91169451],10,0.001
0,sigmoid,[ 0.95054945  0.87614679],[ 0.865  0.955],[ 0.90575916  0.9138756 ],10,0.01
0,sigmoid,[ 0.94148936  0.89150943],[ 0.885  0.945],[ 0.91237113  0.91747573],10,0.1
0,sigmoid,[ 0.86255924  0.9047619 ],[ 0.91   0.855],[ 0.88564477  0.87917738],10,1
0,sigmoid,[ 0.16292135  0.22972973],[ 0.145  0.255],[ 0.15343915  0.24170616],10,10
0,sigmoid,[ 0.34158416  0.33838384],[ 0.345  0.335],[ 0.34328358  0.33668342],10,100
0,sigmoid,[ 0.40384615  0.39583333],[ 0.42  0.38],[ 0.41176471  0.3877551 ],10,1000
0,sigmoid,[ 0.95054945  0.87614679],[ 0.865  0.955],[ 0.90575916  0.9138756 ],100,0.001
